cutoffs,pct_chg,geometry
1.5511811023622,4.99521743782325,"c(-78.023, 42.311)"
1.59842519685039,33.4222880183883,"c(-76.545, 42.933)"
1.52287401574804,60.6143447300969,"c(-77.756, 42.92)"
1.51464566929134,42.6850515962317,"c(-74.927, 42.717)"
1.70157480314959,103.262201293374,"c(-73.721, 44.719)"
1.5623622047244,135.59725351785,"c(-77.718, 42.565)"
1.5,-0.809585135774742,"c(-76.836, 42.1)"
1.77952755905512,66.3684831436423,"c(-74.359, 43.049)"
1.87007874015748,51.4177031378244,"c(-77.608, 42.775)"
1.5,31.1663080189308,"c(-75.554, 43.605)"
1.85503937007874,21.2384038978129,"c(-74.276, 43.755)"
1.763031496063,20.3174791679037,"c(-76.449, 42.449)"
1.51968503937008,27.4916583629653,"c(-73.984, 44.304)"
1.48818897637795,33.0204311085611,"c(-74.869, 43.06)"
1.59842519685039,36.0436789833223,"c(-78.653, 43.152)"
1.5,-14.3281951081948,"c(-75.483, 43.793)"
1.59842519685039,79.3596571383313,"c(-74.154, 41.772)"
2.48818897637795,39.94149883703,"c(-75.52, 42.512)"
1.67082677165356,71.4630484655731,"c(-75.444, 44.728)"
1.59842519685039,29.0779200317446,"c(-78.452, 42.074)"
1.55905511811024,53.2582293778728,"c(-74.691, 41.389)"
2.23673228346456,67.1633665068152,"c(-73.105, 40.959)"
2.46062992125984,23.1950518240088,"c(-75.507, 42.677)"
1.59842519685039,76.08014954626,"c(-76.431, 42.946)"
1.5511811023622,1.64073636005217,"c(-74.289, 42.946)"
1.8759842519685,31.3746092113321,"c(-74.438, 44.231)"
1.51582677165353,23.6270228615464,"c(-75.875, 43.976)"
1.59055118110236,48.6656980486639,"c(-73.961, 41.391)"
2.47259842519683,117.735444803977,"c(-79.815, 40.536)"
1.64173228346457,51.5180843029863,"c(-80.313, 40.763)"
1.60232283464567,68.9337439294741,"c(-77.637, 39.928)"
1.97665354330709,44.7932512792145,"c(-79.436, 41.192)"
1.77409448818897,43.1510855880466,"c(-79.831, 41.4)"
1.64173228346457,56.9095657048716,"c(-74.717, 41.391)"
2.11712598425198,98.742433899463,"c(-75.858, 41.851)"
